Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,3,3,1600,Sector 5,"7,200,000",,,,,,,,,,,
Apartment,3,3,1340,Sector 11," 7,200,000",,,,,,,,,,,
Apartment,3,2,1000,Sector 9,"7,200,000",,,,,,,,,,,
Apartment,2,2,1050,Sector 14,"7,350,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"7,400,000",,,,,,,,,,,
Apartment,3,2,1150,Sector 5,"7,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 11,"7,500,000",,,,,,,,,,,
Apartment,3,3,1275,Sector 10,"7,500,000",,,,,,,,,,,
Apartment,3,2,1025,Sector 5," 7,500,000",,,,,,,,,,,
Apartment,3,4,1365,Sector 10,"7,500,000",,,,,,,,,,,
Apartment,3,4,1400,Sector 10,"7,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10,"7,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"7,600,000",,,,,,,,,,,
Apartment,2,2,950,Sector 11,"7,600,000",,,,,,,,,,,
Apartment,3,4,1700,Sector 10,"7,650,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"7,700,000",,,,,,,,,,,
Apartment,2,2,1079,Sector 9,"7,768,800",,,,,,,,,,,
Apartment,3,3,1289,Sector 10,"7,800,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"7,800,000",,,,,,,,,,,
Apartment,2,2,1215,Sector 4,"7,800,000",,,,,,,,,,,
Apartment,2,2,1200,Sector 3,"7,800,000",,,,,,,,,,,
Apartment,3,2,1218,Sector 10," 7,917,000",,,,,,,,,,,
Apartment,3,3,1530,Sector 11," 8,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,3,1200,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,3,1460,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,3,1700,Sector 12,"8,000,000",,,,,,,,,,,
Apartment,2,3,1331,Sector 10," 8,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 12,"8,000,000",,,,,,,,,,,
Apartment,3,3,1553,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,3,1350,Sector 10," 8,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,4,1480,Sector 10,"8,000,000",,,,,,,,,,,
Apartment,3,3,1350,Sector 10," 8,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10," 8,000,000",,,,,,,,,,,
Apartment,3,2,1250,Sector 11," 8,000,000",,,,,,,,,,,
Apartment,2,4,1350,Sector 10," 8,000,000",,,,,,,,,,,
Apartment,3,3,1340,Sector 5,"8,040,000",,,,,,,,,,,
Apartment,3,3,1240,Sector 10,"8,060,000",,,,,,,,,,,
Apartment,3,3,1300,Sector 11,"8,060,000",,,,,,,,,,,
Apartment,3,4,1553,Sector 10,"8,075,600",,,,,,,,,,,
Apartment,3,3,1166,Sector 10,"8,200,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 10," 8,250,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10," 8,250,000",,,,,,,,,,,
Apartment,3,4,1482,Sector 10,"8,300,000",,,,,,,,,,,
Apartment,3,2,1250,Sector 10,"8,300,000",,,,,,,,,,,
Apartment,3,3,1280,Sector 10," 8,320,000",,,,,,,,,,,
Apartment,3,3,1280,Sector 10," 8,320,000",,,,,,,,,,,
Apartment,3,3,1375,Sector 10,"8,400,000",,,,,,,,,,,
Apartment,3,4,1335,Sector 10,"8,410,500",,,,,,,,,,,
Apartment,3,3,1408,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1408,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,4,1550,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1200,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,4,1400,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1350,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1408,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1611,Sector 13,"8,500,000",,,,,,,,,,,
Apartment,3,3,1150,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1150,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1312,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1150,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,4,1465,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 5,"8,500,000",,,,,,,,,,,
Apartment,3,3,1517,Sector 10,"8,500,000",,,,,,,,,,,
Apartment,3,3,1494,Sector 10," 8,800,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 11," 8,800,000",,,,,,,,,,,
Apartment,3,4,1920,Sector 12," 8,800,000",,,,,,,,,,,
Apartment,3,3,2033,Sector 10," 8,800,000",,,,,,,,,,,
Apartment,2,2,1600,Sector 10," 8,800,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 3," 8,800,000",,,,,,,,,,,
Apartment,3,3,1774,Sector 10," 9,000,000",,,,,,,,,,,
Apartment,3,3,1310,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,2,1565,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1200,Sector 13,"9,000,000",,,,,,,,,,,
Apartment,3,4,1511,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,4,1425,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 11,"9,000,000",,,,,,,,,,,
Apartment,3,4,1450,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1150,Sector 12,"9,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 13,"9,000,000",,,,,,,,,,,
Apartment,3,3,1300,Sector 5,"9,000,000",,,,,,,,,,,
Apartment,3,3,1250,Sector 13,"9,000,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1675,Sector 12,"9,000,000",,,,,,,,,,,
Apartment,3,3,1200,Sector 13,"9,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,4,1370,Sector 10,"9,000,000",,,,,,,,,,,
Apartment,3,3,1320,Sector 5,"9,000,000",,,,,,,,,,,
Apartment,3,3,1640,Sector 12,"9,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 13,"9,000,000",,,,,,,,,,,
Apartment,3,3,1513,Sector 10," 9,200,000",,,,,,,,,,,
Apartment,3,3,1350,Sector 10," 9,200,000",,,,,,,,,,,
Apartment,3,3,1617,Sector 13," 9,200,000",,,,,,,,,,,
Apartment,4,4,1850,Sector 11,"9,200,000",,,,,,,,,,,
Apartment,3,4,1517,Sector 13," 9,200,000",,,,,,,,,,,
Apartment,3,3,1320,Sector 3,"9,240,000",,,,,,,,,,,
Apartment,3,4,1680,Sector 10,"9,240,000",,,,,,,,,,,
Apartment,3,3,1200,Sector 13,"9,240,000",,,,,,,,,,,
Apartment,3,3,1625,Sector 10,"9,400,000",,,,,,,,,,,
Apartment,3,4,1684,Sector 10,"9,400,000",,,,,,,,,,,
Apartment,3,4,1684,Sector 10,"9,400,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 6,"9,425,000",,,,,,,,,,,
Apartment,3,4,1525,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1510,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,4,1553,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1514,Sector 13,"9,500,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,4,4,1850,Sector 11,"9,500,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1502,Sector 4,"9,500,000",,,,,,,,,,,
Apartment,4,5,1900,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,4,1515,Sector 10,"9,500,000",,,,,,,,,,,
Apartment,3,3,1472,Sector 4,"9,500,000",,,,,,,,,,,
